brand,model,vehicleType,gearbox,fuelType,notRepairedDamage,powerPS,kilometer,autoAgeMonths,price
renault,twingo,kleinwagen,manuell,benzin,nein,60,150000,191,1199
ford,focus,limousine,manuell,benzin,nein,75,125000,170,1750
volkswagen,golf,limousine,manuell,benzin,nein,54,150000,314,1000
bmw,7er,limousine,automatik,benzin,ja,286,150000,243,1800
opel,combo,bus,manuell,diesel,nein,75,150000,156,1100
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,170,150000,182,2990
volkswagen,passat,kombi,manuell,diesel,nein,131,150000,172,2750
skoda,fabia,kombi,manuell,diesel,nein,75,100000,47,6990
audi,80,cabrio,manuell,benzin,nein,116,150000,238,4800
mercedes_benz,c_klasse,limousine,automatik,diesel,nein,170,125000,107,14499
alfa_romeo,147,limousine,manuell,diesel,nein,120,150000,108,3450
bmw,5er,kombi,automatik,diesel,nein,184,150000,185,3550
ford,c_max,bus,manuell,diesel,nein,109,125000,66,8250
renault,clio,kleinwagen,manuell,benzin,nein,54,150000,208,800
mercedes_benz,glk,suv,automatik,diesel,nein,204,40000,19,41900
bmw,3er,kombi,automatik,diesel,nein,204,150000,159,4200
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,241,1000
peugeot,3_reihe,limousine,manuell,benzin,ja,88,150000,138,800
mercedes_benz,c_klasse,limousine,manuell,benzin,nein,160,150000,190,2300
audi,a6,kombi,automatik,diesel,nein,163,150000,153,4000
bmw,z_reihe,cabrio,manuell,benzin,nein,170,150000,136,9450
mercedes_benz,c_klasse,limousine,manuell,diesel,nein,170,125000,158,6890
volkswagen,golf,limousine,manuell,benzin,nein,69,125000,317,850
volkswagen,transporter,bus,manuell,diesel,nein,131,150000,100,8500
honda,civic,limousine,manuell,benzin,nein,75,125000,185,1500
seat,ibiza,kleinwagen,manuell,benzin,nein,64,80000,146,3200
ford,c_max,bus,manuell,diesel,nein,116,150000,60,11890
bmw,3er,coupe,automatik,benzin,nein,170,150000,193,2900
ford,mustang,cabrio,manuell,benzin,nein,305,50000,116,19750
volkswagen,eos,cabrio,manuell,benzin,nein,150,60000,113,9800
ford,fiesta,kleinwagen,manuell,benzin,nein,80,125000,155,1990
mercedes_benz,vito,bus,automatik,diesel,nein,150,150000,118,10500
opel,astra,limousine,manuell,diesel,nein,131,70000,49,11000
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,197,150000,191,2390
skoda,fabia,kombi,automatik,benzin,nein,110,10000,8,16449
audi,a4,limousine,manuell,benzin,nein,120,60000,59,14300
volkswagen,polo,kleinwagen,manuell,benzin,nein,80,125000,83,5999
audi,a6,kombi,automatik,diesel,nein,179,150000,148,3700
volkswagen,touran,bus,manuell,diesel,nein,105,90000,109,8999
ford,mustang,coupe,automatik,benzin,nein,305,90000,569,25000
audi,80,limousine,manuell,benzin,nein,90,80000,289,2790
bmw,3er,limousine,manuell,benzin,nein,170,100000,88,13400
volkswagen,golf,bus,manuell,benzin,ja,102,150000,116,4900
volkswagen,golf,limousine,automatik,benzin,nein,250,150000,115,11299
volkswagen,golf,andere,manuell,benzin,nein,75,150000,226,550
hyundai,getz,kleinwagen,manuell,diesel,ja,88,150000,117,1400
opel,insignia,kombi,manuell,diesel,nein,131,150000,52,9500
volkswagen,golf,kombi,manuell,diesel,nein,90,150000,204,1800
bmw,5er,kombi,automatik,diesel,nein,231,150000,113,11000
renault,megane,cabrio,manuell,benzin,nein,163,100000,123,6900
audi,a6,kombi,automatik,diesel,nein,179,150000,92,12999
bmw,5er,kombi,automatik,diesel,nein,313,150000,52,18400
volkswagen,andere,limousine,manuell,benzin,nein,75,150000,246,999
audi,a3,kombi,automatik,diesel,nein,140,150000,79,12899
bmw,3er,limousine,manuell,diesel,nein,143,150000,71,10500
volkswagen,golf,limousine,manuell,benzin,nein,80,50000,73,8500
bmw,1er,limousine,manuell,benzin,nein,265,150000,102,14900
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,264,500
audi,a3,limousine,manuell,benzin,nein,125,150000,234,1250
volkswagen,polo,kleinwagen,manuell,benzin,nein,54,125000,282,370
renault,r19,limousine,manuell,benzin,nein,88,150000,276,350
bmw,3er,coupe,manuell,diesel,nein,197,150000,107,8600
volkswagen,golf,cabrio,manuell,benzin,nein,98,150000,301,2222
bmw,3er,limousine,automatik,benzin,nein,218,150000,125,11800
ford,c_max,bus,manuell,diesel,ja,115,125000,94,4000
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,75,150000,200,1450
volkswagen,golf,limousine,manuell,benzin,ja,75,100000,138,2800
mercedes_benz,c_klasse,kombi,manuell,diesel,nein,122,150000,138,5499
bmw,3er,limousine,manuell,benzin,nein,170,150000,191,5500
audi,a4,kombi,manuell,diesel,nein,150,50000,32,22290
lancia,andere,bus,manuell,diesel,nein,109,150000,148,1440
renault,clio,kleinwagen,manuell,benzin,nein,75,150000,192,1150
volkswagen,golf,limousine,manuell,diesel,nein,170,90000,60,15700
bmw,3er,coupe,manuell,benzin,nein,102,150000,247,899
bmw,3er,kombi,manuell,benzin,nein,150,150000,123,9200
mercedes_benz,sprinter,bus,manuell,diesel,nein,130,150000,183,3350
renault,clio,kleinwagen,manuell,benzin,ja,75,125000,118,2700
mazda,andere,bus,automatik,benzin,ja,114,150000,179,800
audi,a6,limousine,automatik,diesel,nein,140,150000,90,9800
volkswagen,golf,limousine,automatik,benzin,ja,211,60000,40,14700
mitsubishi,colt,limousine,manuell,benzin,nein,75,70000,253,895
volkswagen,polo,kleinwagen,manuell,benzin,nein,54,150000,251,950
bmw,5er,limousine,automatik,lpg,nein,286,150000,170,6799
opel,corsa,kleinwagen,manuell,benzin,nein,56,150000,199,500
volkswagen,polo,kleinwagen,automatik,benzin,nein,90,30000,41,11919
porsche,andere,coupe,manuell,benzin,nein,265,125000,82,25900
audi,a1,kleinwagen,manuell,diesel,nein,105,125000,63,10800
opel,vectra,limousine,manuell,benzin,nein,101,150000,170,650
bmw,3er,kombi,manuell,benzin,ja,118,150000,186,800
volkswagen,lupo,kleinwagen,manuell,diesel,nein,75,150000,179,1690
citroen,berlingo,bus,manuell,diesel,nein,75,80000,86,4850
volkswagen,passat,kombi,manuell,diesel,nein,140,150000,100,4500
volkswagen,passat,kombi,manuell,benzin,nein,131,150000,156,3900
volkswagen,transporter,bus,automatik,diesel,nein,140,80000,30,26999
volkswagen,passat,kombi,manuell,benzin,nein,101,150000,192,750
bmw,7er,limousine,automatik,diesel,nein,184,150000,198,5900
audi,a6,limousine,automatik,diesel,nein,326,5000,9,56900
volkswagen,golf,limousine,manuell,benzin,nein,116,150000,191,1100
mercedes_benz,andere,coupe,automatik,diesel,nein,265,80000,18,48000
renault,clio,kleinwagen,manuell,benzin,nein,201,70000,81,8400
audi,80,limousine,manuell,benzin,nein,90,70000,309,1
volkswagen,golf,limousine,manuell,benzin,ja,75,150000,215,800
mercedes_benz,m_klasse,suv,automatik,diesel,nein,224,150000,76,27500
volkswagen,touran,bus,manuell,benzin,nein,140,70000,85,14950
bmw,z_reihe,cabrio,manuell,benzin,nein,170,70000,142,14900
bmw,5er,limousine,automatik,benzin,nein,235,150000,214,2950
volkswagen,tiguan,suv,manuell,diesel,nein,101,150000,56,12000
mercedes_benz,c_klasse,kombi,automatik,diesel,nein,150,150000,173,2500
mitsubishi,andere,coupe,manuell,benzin,nein,286,150000,252,6000
ford,fiesta,kleinwagen,manuell,diesel,nein,95,60000,51,8950
ford,mustang,coupe,automatik,benzin,nein,213,80000,80,18700
volkswagen,passat,coupe,automatik,diesel,nein,140,125000,75,11550
bmw,3er,limousine,manuell,benzin,nein,102,150000,318,2400
volkswagen,tiguan,suv,manuell,benzin,nein,150,30000,60,16150
audi,tt,coupe,manuell,benzin,nein,179,150000,193,3000
volkswagen,golf,limousine,manuell,diesel,nein,90,150000,138,5500
mazda,6_reihe,limousine,manuell,diesel,nein,122,5000,141,2000
renault,megane,limousine,manuell,benzin,ja,107,150000,189,890
mitsubishi,andere,bus,manuell,diesel,nein,69,150000,235,2899
volkswagen,golf,limousine,manuell,benzin,nein,75,80000,136,4800
peugeot,3_reihe,limousine,manuell,benzin,nein,174,90000,91,6799
opel,astra,limousine,manuell,benzin,nein,125,150000,141,2650
renault,clio,kleinwagen,manuell,benzin,nein,107,150000,202,1000
audi,a3,coupe,manuell,benzin,ja,125,150000,231,800
audi,a4,cabrio,manuell,benzin,nein,220,150000,168,5299
mercedes_benz,e_klasse,limousine,manuell,diesel,nein,150,150000,168,7150
citroen,c4,coupe,manuell,benzin,nein,88,150000,118,2300
volkswagen,golf,bus,manuell,diesel,nein,140,150000,116,5500
fiat,panda,kleinwagen,manuell,benzin,nein,54,125000,224,4400
audi,a3,limousine,manuell,diesel,nein,140,150000,90,7950
bmw,z_reihe,coupe,manuell,benzin,nein,265,150000,109,16500
bmw,z_reihe,cabrio,automatik,benzin,nein,170,150000,138,8100
volkswagen,up,kleinwagen,automatik,benzin,nein,75,60000,33,9750
mazda,3_reihe,limousine,manuell,diesel,nein,185,150000,83,7700
smart,fortwo,kleinwagen,automatik,benzin,nein,54,125000,196,1195
renault,clio,kombi,manuell,benzin,nein,73,30000,23,9790
renault,clio,kleinwagen,manuell,benzin,nein,54,90000,200,1849
volkswagen,transporter,kombi,manuell,diesel,ja,77,150000,297,650
toyota,andere,coupe,manuell,benzin,nein,170,150000,210,2600
mercedes_benz,andere,kombi,manuell,diesel,nein,170,150000,93,11700
renault,scenic,bus,manuell,benzin,ja,90,150000,213,600
hyundai,i_reihe,kombi,manuell,benzin,nein,109,150000,79,4950
bmw,3er,cabrio,manuell,benzin,nein,150,150000,121,8499
volkswagen,golf,limousine,manuell,benzin,nein,101,150000,201,1700
kia,ceed,limousine,manuell,benzin,nein,90,100000,74,5750
renault,kangoo,bus,manuell,benzin,ja,75,150000,172,600
bmw,5er,limousine,automatik,benzin,nein,170,150000,147,8700
mercedes_benz,c_klasse,kombi,automatik,diesel,nein,125,150000,206,1200
mazda,5_reihe,bus,manuell,diesel,nein,116,20000,17,18880
bmw,5er,kombi,automatik,diesel,nein,177,150000,93,11200
seat,ibiza,kleinwagen,manuell,benzin,nein,75,125000,158,3900
bmw,1er,limousine,manuell,diesel,nein,143,80000,64,13849
skoda,yeti,suv,manuell,benzin,nein,105,40000,37,13200
skoda,fabia,kombi,manuell,benzin,nein,101,125000,176,2500
skoda,fabia,kleinwagen,manuell,benzin,nein,54,150000,120,2550
skoda,octavia,kombi,manuell,lpg,nein,102,150000,112,3900
bmw,3er,limousine,manuell,benzin,nein,231,150000,172,2450
volkswagen,passat,kombi,manuell,diesel,nein,90,150000,207,750
opel,zafira,bus,automatik,benzin,nein,116,150000,200,1799
seat,mii,kleinwagen,manuell,benzin,nein,75,60000,40,8150
mazda,rx_reihe,coupe,manuell,benzin,nein,192,125000,140,3900
opel,corsa,kleinwagen,manuell,benzin,nein,90,20000,19,9999
ford,mondeo,kombi,manuell,diesel,nein,131,150000,172,500
volkswagen,golf,limousine,manuell,lpg,nein,66,150000,282,699
opel,astra,cabrio,manuell,benzin,nein,115,150000,265,999
bmw,6er,coupe,manuell,benzin,nein,218,150000,390,16500
ford,focus,limousine,manuell,andere,nein,125,125000,103,6500
fiat,punto,kleinwagen,manuell,benzin,nein,60,100000,190,1490
opel,astra,kombi,manuell,diesel,nein,110,150000,95,3200
audi,a6,kombi,manuell,diesel,nein,163,150000,156,3250
volkswagen,fox,kleinwagen,manuell,benzin,nein,54,70000,118,3400
renault,twingo,kleinwagen,manuell,benzin,nein,58,150000,167,1100
opel,vectra,limousine,manuell,diesel,nein,125,150000,168,1750
volkswagen,passat,kombi,automatik,diesel,nein,140,150000,112,3300
chevrolet,matiz,kleinwagen,manuell,benzin,ja,52,150000,130,1350
fiat,panda,kleinwagen,manuell,benzin,nein,69,80000,50,8250
volkswagen,beetle,kleinwagen,manuell,benzin,nein,115,150000,195,2500
audi,a6,kombi,automatik,diesel,nein,163,150000,145,3999
mercedes_benz,m_klasse,suv,automatik,lpg,nein,510,150000,108,21500
bmw,1er,limousine,manuell,benzin,nein,143,150000,102,7000
renault,andere,bus,manuell,diesel,nein,131,150000,129,2950
fiat,punto,kleinwagen,manuell,benzin,nein,60,60000,189,1100
opel,vectra,limousine,manuell,benzin,nein,147,125000,155,3600
volkswagen,golf,limousine,manuell,benzin,nein,80,125000,79,7750
bmw,5er,kombi,automatik,diesel,nein,150,150000,102,6880
volkswagen,golf,bus,automatik,diesel,nein,140,150000,93,5600
volkswagen,golf,limousine,automatik,benzin,nein,105,60000,41,10550
mercedes_benz,a_klasse,limousine,manuell,benzin,nein,122,40000,29,17500
seat,ibiza,kleinwagen,manuell,benzin,nein,60,150000,203,999
opel,astra,kombi,manuell,benzin,nein,115,150000,208,2000
audi,a4,limousine,manuell,benzin,nein,125,125000,201,2700
smart,fortwo,cabrio,automatik,benzin,nein,71,90000,73,5555
mercedes_benz,a_klasse,limousine,manuell,benzin,nein,95,70000,64,8450
ford,focus,limousine,manuell,benzin,nein,75,150000,191,680
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,73,70000,77,4650
kia,rio,kleinwagen,manuell,benzin,nein,97,70000,105,4450
nissan,micra,kleinwagen,manuell,benzin,nein,65,80000,153,1999
opel,zafira,bus,manuell,diesel,nein,110,100000,60,9650
mercedes_benz,a_klasse,limousine,automatik,benzin,nein,82,125000,141,3850
volkswagen,touareg,suv,automatik,diesel,nein,239,150000,96,15500
seat,ibiza,kleinwagen,automatik,benzin,nein,179,50000,65,11500
dacia,logan,kombi,manuell,diesel,nein,68,150000,106,2800
mercedes_benz,e_klasse,limousine,automatik,benzin,nein,136,150000,290,1490
suzuki,andere,suv,manuell,benzin,nein,80,150000,287,1199
kia,andere,limousine,manuell,lpg,nein,203,150000,139,4000
renault,megane,kombi,manuell,diesel,nein,150,125000,115,6450
opel,corsa,kleinwagen,manuell,benzin,nein,75,150000,174,1690
volkswagen,passat,limousine,automatik,diesel,nein,150,150000,160,1750
mercedes_benz,a_klasse,limousine,automatik,benzin,nein,82,70000,180,2990
opel,omega,kombi,manuell,benzin,ja,144,150000,192,650
citroen,andere,andere,manuell,diesel,nein,120,150000,69,5500
citroen,andere,coupe,manuell,benzin,nein,75,150000,211,1299
mercedes_benz,c_klasse,kombi,automatik,benzin,nein,143,150000,136,7600
volkswagen,golf,kombi,automatik,benzin,nein,160,60000,72,13499
daihatsu,cuore,kleinwagen,manuell,benzin,nein,58,150000,108,1490
volkswagen,golf,limousine,manuell,benzin,nein,80,125000,105,5500
bmw,3er,limousine,manuell,benzin,nein,143,150000,156,2350
ford,s_max,bus,automatik,diesel,nein,140,150000,78,6350
mazda,andere,bus,manuell,benzin,nein,101,150000,196,750
opel,vectra,limousine,automatik,benzin,nein,101,150000,211,1500
audi,a4,limousine,manuell,benzin,nein,300,150000,157,8500
fiat,andere,kombi,manuell,benzin,nein,103,125000,181,850
mercedes_benz,a_klasse,limousine,manuell,benzin,nein,95,70000,78,6700
audi,a3,limousine,manuell,diesel,nein,150,50000,31,29980
opel,corsa,kleinwagen,manuell,benzin,nein,75,125000,154,2238
bmw,3er,coupe,manuell,benzin,nein,170,150000,220,3350
renault,modus,bus,manuell,diesel,nein,86,150000,130,2000
audi,a6,kombi,manuell,diesel,nein,140,100000,109,14500
audi,a2,kleinwagen,manuell,benzin,nein,75,150000,171,4199
seat,ibiza,kleinwagen,manuell,benzin,nein,85,30000,84,6999
volkswagen,polo,kleinwagen,manuell,benzin,nein,60,100000,88,4490
bmw,x_reihe,limousine,automatik,diesel,nein,245,40000,36,43900
audi,a5,cabrio,manuell,benzin,nein,160,90000,70,21950
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,150,150000,145,8100
bmw,5er,kombi,manuell,benzin,nein,258,150000,118,12650
volkswagen,passat,kombi,manuell,benzin,nein,125,150000,225,2400
mercedes_benz,e_klasse,coupe,automatik,benzin,nein,292,125000,81,24900
volkswagen,golf,limousine,manuell,diesel,nein,90,150000,109,4300
audi,a4,kombi,manuell,diesel,nein,143,125000,90,10550
seat,ibiza,kleinwagen,manuell,benzin,nein,60,150000,245,200
audi,a6,limousine,manuell,benzin,nein,170,150000,75,11500
audi,a5,cabrio,automatik,diesel,nein,239,150000,84,20500
alfa_romeo,147,limousine,manuell,benzin,nein,105,150000,118,2990
mercedes_benz,c_klasse,kombi,manuell,diesel,nein,136,150000,91,9600
opel,astra,limousine,manuell,benzin,nein,75,100000,190,1700
peugeot,andere,andere,manuell,diesel,ja,98,150000,97,4760
ford,galaxy,bus,manuell,diesel,nein,140,80000,48,16500
audi,tt,coupe,manuell,benzin,nein,179,125000,205,5300
citroen,c3,kleinwagen,automatik,benzin,nein,109,100000,158,3555
mercedes_benz,viano,bus,manuell,diesel,nein,150,90000,83,19900
mercedes_benz,s_klasse,limousine,automatik,diesel,nein,320,150000,105,15200
bmw,3er,limousine,manuell,benzin,nein,130,150000,250,550
volkswagen,eos,cabrio,manuell,diesel,nein,140,150000,114,8700
fiat,panda,kleinwagen,manuell,benzin,nein,86,50000,50,6990
hyundai,getz,kleinwagen,manuell,benzin,nein,63,150000,120,1650
audi,a3,limousine,manuell,diesel,nein,170,150000,81,7900
volkswagen,golf,limousine,manuell,benzin,nein,86,20000,16,14650
bmw,3er,kombi,manuell,benzin,nein,143,150000,163,3299
ford,fiesta,kleinwagen,manuell,benzin,nein,81,40000,45,6500
peugeot,2_reihe,kleinwagen,manuell,benzin,ja,148,150000,161,600
volkswagen,golf,limousine,manuell,benzin,nein,102,125000,115,5800
opel,astra,kombi,manuell,benzin,nein,75,150000,205,1600
mercedes_benz,c_klasse,kombi,automatik,benzin,nein,156,30000,55,8000
audi,andere,coupe,automatik,diesel,nein,204,100000,64,27500
audi,a4,kombi,manuell,diesel,ja,170,150000,100,6500
citroen,andere,bus,manuell,diesel,nein,109,150000,143,2790
volkswagen,andere,kleinwagen,manuell,benzin,nein,54,125000,103,2390
bmw,3er,limousine,automatik,benzin,ja,170,125000,88,9900
ford,mondeo,kombi,manuell,benzin,nein,125,150000,174,1450
volkswagen,sharan,bus,manuell,diesel,nein,131,150000,147,3600
smart,fortwo,cabrio,automatik,benzin,nein,54,100000,190,2295
volkswagen,golf,limousine,manuell,benzin,nein,90,150000,297,950
volkswagen,passat,kombi,manuell,benzin,nein,101,150000,217,800
nissan,andere,suv,manuell,benzin,nein,116,125000,213,1250
toyota,avensis,kombi,manuell,benzin,nein,129,125000,119,3250
mercedes_benz,viano,bus,automatik,diesel,nein,204,150000,105,13500
bmw,3er,limousine,manuell,benzin,nein,170,150000,198,4999
volkswagen,tiguan,suv,manuell,benzin,nein,122,40000,39,18300
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,183,1000
mercedes_benz,sl,cabrio,manuell,benzin,nein,185,150000,418,36500
opel,corsa,kleinwagen,manuell,benzin,nein,75,125000,158,2700
skoda,roomster,bus,manuell,benzin,nein,69,60000,102,4990
bmw,3er,cabrio,manuell,lpg,nein,192,150000,180,6800
audi,a5,coupe,automatik,benzin,nein,354,60000,53,30900
renault,clio,kleinwagen,manuell,benzin,nein,75,80000,79,2999
mercedes_benz,andere,limousine,manuell,benzin,nein,97,150000,298,1500
mercedes_benz,sl,cabrio,automatik,benzin,ja,204,150000,420,6500
audi,q5,limousine,automatik,diesel,nein,239,125000,66,28900
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,136,150000,142,1900
audi,a3,kombi,manuell,diesel,nein,140,150000,64,10490
audi,a4,kombi,automatik,diesel,nein,239,90000,54,28499
volkswagen,passat,limousine,manuell,lpg,nein,102,150000,156,3999
peugeot,2_reihe,kleinwagen,manuell,benzin,nein,60,150000,173,1350
mazda,6_reihe,limousine,manuell,benzin,nein,105,150000,264,600
opel,corsa,kleinwagen,manuell,diesel,ja,70,150000,123,800
opel,insignia,kombi,automatik,diesel,nein,160,150000,10,11500
mercedes_benz,vito,bus,manuell,diesel,nein,122,150000,187,5000
opel,corsa,kleinwagen,manuell,diesel,nein,69,150000,137,2400
hyundai,santa,suv,manuell,benzin,nein,145,150000,137,4800
volkswagen,fox,kleinwagen,manuell,benzin,nein,60,100000,58,3250
audi,a3,kombi,manuell,diesel,nein,170,150000,117,11800
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,143,150000,194,3500
mercedes_benz,c_klasse,limousine,manuell,diesel,nein,136,150000,90,9499
volkswagen,passat,kombi,manuell,benzin,nein,125,150000,217,3500
volkswagen,lupo,kleinwagen,manuell,benzin,nein,60,100000,168,1999
bmw,5er,kombi,manuell,benzin,nein,150,150000,216,1500
mercedes_benz,c_klasse,limousine,automatik,benzin,ja,85,125000,246,400
volkswagen,touran,bus,manuell,diesel,nein,105,100000,59,12950
hyundai,getz,kleinwagen,manuell,benzin,nein,64,100000,99,2150
audi,tt,coupe,manuell,benzin,nein,180,150000,207,4999
mercedes_benz,c_klasse,kombi,automatik,benzin,nein,163,125000,180,5200
seat,leon,limousine,manuell,benzin,nein,280,125000,140,9099
mini,cooper,kleinwagen,manuell,benzin,nein,122,90000,111,8200
bmw,3er,coupe,manuell,benzin,ja,193,150000,251,2000
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,231,750
volkswagen,lupo,kleinwagen,manuell,benzin,nein,60,125000,172,1190
opel,zafira,bus,manuell,benzin,nein,101,150000,192,1200
mazda,6_reihe,limousine,manuell,benzin,nein,116,90000,166,3000
fiat,punto,kleinwagen,manuell,benzin,nein,60,150000,176,1150
bmw,5er,limousine,automatik,diesel,nein,231,150000,117,13980
ford,c_max,bus,manuell,diesel,nein,136,150000,123,6499
mercedes_benz,e_klasse,kombi,automatik,diesel,nein,190,150000,128,8850
volkswagen,sharan,bus,manuell,diesel,nein,115,150000,183,4000
ford,andere,bus,manuell,diesel,nein,90,150000,149,1990
volkswagen,golf,limousine,manuell,diesel,nein,140,150000,86,7199
bmw,3er,coupe,manuell,benzin,nein,116,150000,175,1999
kia,sportage,suv,manuell,diesel,nein,150,100000,66,9990
audi,a4,kombi,manuell,diesel,nein,190,150000,90,13800
renault,twingo,kleinwagen,automatik,benzin,nein,75,150000,154,2150
volkswagen,caddy,bus,manuell,diesel,nein,90,150000,210,2500
bmw,3er,kombi,manuell,diesel,nein,184,125000,60,15750
mercedes_benz,c_klasse,kombi,manuell,benzin,nein,122,150000,225,750
audi,a8,limousine,automatik,benzin,nein,260,150000,175,11800
volkswagen,transporter,bus,manuell,diesel,nein,60,150000,284,2700
opel,corsa,kleinwagen,manuell,diesel,nein,69,150000,119,1650
volkswagen,golf,kleinwagen,manuell,benzin,nein,75,150000,219,999
mercedes_benz,glk,suv,automatik,diesel,nein,224,90000,80,21500
audi,a4,limousine,automatik,diesel,nein,179,150000,105,11900
chrysler,andere,suv,automatik,benzin,ja,156,90000,82,2100
mini,cooper,kleinwagen,manuell,benzin,nein,116,150000,158,5350
bmw,3er,limousine,automatik,diesel,nein,177,125000,81,6000
mercedes_benz,c_klasse,limousine,automatik,benzin,nein,457,60000,44,41900
mercedes_benz,clk,coupe,automatik,benzin,nein,197,150000,166,5990
