Дата заказа (ГГГГ-ММ-ДД),Шифр заказа (ID),Расстояние до клиента (в км),Количество позиций в чеке (в шт.),Балл пробок на дорогах (в баллах),Погода (в градусах Цельсия),Этаж доставки (в этажах),Время доставки (в минутах)
2026-08-07,ORD-202608046,2.5,1,5,16.4,1,21.1
2026-08-08,ORD-202608047,8.8,1,4,16.2,4,46.4
2026-09-04,ORD-202608048,0.6,2,3,26.2,19,17.7
2026-08-14,ORD-202608049,1.9,1,2,22.3,3,16.8
2026-08-17,ORD-202608050,2.1,8,5,20.2,9,24.4
2026-09-05,ORD-202608051,1.2,2,6,14.2,3,11.5
2026-09-09,ORD-202608052,3.2,13,5,24.5,4,33.3
2026-08-04,ORD-202608053,2.0,2,5,27.1,15,21.7
2026-08-02,ORD-202608054,2.3,1,1,24.4,11,18.6
2026-08-06,ORD-202608055,9.3,6,9,8.0,1,68.1
2026-08-04,ORD-202608056,0.4,5,7,20.7,5,13.9
2026-08-29,ORD-202608057,2.7,3,3,9.0,1,18.9
2026-08-18,ORD-202608058,1.8,4,9,13.2,6,21.0
2026-08-26,ORD-202608059,7.1,5,5,9.2,9,46.8
2026-09-03,ORD-202608060,7.4,2,5,20.1,2,42.3
2026-08-10,ORD-202608061,21.6,16,6,21.7,3,127.1
2026-09-05,ORD-202608062,2.4,12,7,10.3,5,29.3
2026-08-14,ORD-202608063,3.0,5,5,15.7,18,32.8
2026-08-31,ORD-202608064,6.7,1,2,17.1,25,45.0
2026-08-15,ORD-202608065,4.1,5,3,15.4,1,27.2
2026-08-08,ORD-202608066,4.4,1,8,10.4,12,33.5
2026-08-14,ORD-202608067,2.1,1,3,16.4,4,13.9
2026-08-23,ORD-202608068,5.7,2,4,23.0,5,31.7
2026-09-09,ORD-202608069,4.4,3,4,9.4,12,29.6
2026-08-21,ORD-202608070,12.3,8,4,9.6,18,70.3
2026-08-16,ORD-202608071,7.1,5,5,15.1,21,51.1
2026-08-18,ORD-202608072,7.6,6,9,26.8,8,59.0
2026-08-24,ORD-202608073,10.0,3,3,21.4,4,47.7
2026-08-26,ORD-202608074,3.0,2,2,21.6,13,22.9
2026-08-25,ORD-202608075,11.2,2,2,15.2,3,50.4
2026-08-29,ORD-202608076,3.8,14,8,19.9,7,43.1
2026-08-15,ORD-202608077,1.7,1,5,8.2,4,11.1
2026-08-01,ORD-202608078,14.2,8,3,20.7,9,69.7
2026-08-25,ORD-202608079,8.9,4,7,26.3,3,56.7
2026-08-07,ORD-202608080,5.3,3,7,20.3,2,37.6
2026-08-09,ORD-202608081,6.3,5,7,25.5,18,47.4
2026-08-24,ORD-202608082,5.8,3,8,22.5,1,38.2
2026-08-01,ORD-202608083,15.7,8,3,10.4,6,75.4
2026-08-08,ORD-202608084,7.2,9,6,26.0,3,45.4
2026-08-24,ORD-202608085,4.7,3,4,9.3,1,30.3
2026-08-11,ORD-202608086,7.5,2,7,18.7,1,46.7
2026-08-17,ORD-202608087,14.1,4,6,10.8,2,80.9
2026-08-08,ORD-202608088,1.9,9,6,8.2,16,26.5
2026-09-04,ORD-202608089,2.2,2,5,16.4,3,17.0
2026-09-04,ORD-202608090,1.1,4,2,13.9,21,16.4
2026-09-02,ORD-202608091,12.1,4,5,17.7,8,64.7
2026-08-05,ORD-202608092,13.8,5,10,19.5,5,97.4
2026-09-08,ORD-202608093,9.0,1,8,8.9,8,55.1
2026-08-28,ORD-202608094,0.5,5,1,10.5,7,13.4
2026-08-07,ORD-202608095,15.3,9,2,19.2,12,72.1
2026-08-09,ORD-202608096,9.3,1,2,14.9,3,41.9
2026-08-08,ORD-202608097,2.8,2,6,22.6,4,24.3
2026-08-12,ORD-202608098,14.3,12,7,21.0,17,96.9
2026-09-03,ORD-202608099,23.2,1,3,24.9,20,105.4
2026-09-02,ORD-202608100,4.6,7,4,21.8,17,38.8
2026-08-23,ORD-202608101,18.0,3,7,16.6,5,106.0
2026-08-24,ORD-202608102,2.5,2,6,21.5,12,22.2
2026-09-06,ORD-202608103,3.8,8,5,13.5,6,30.1
2026-09-04,ORD-202608104,2.1,3,5,14.1,6,20.2
2026-09-09,ORD-202608105,6.6,3,4,23.8,2,32.7
2026-08-22,ORD-202608106,9.1,2,3,16.9,8,45.5
2026-08-27,ORD-202608107,8.8,4,5,24.0,2,48.4
2026-09-04,ORD-202608108,22.7,1,6,24.4,4,120.3
2026-08-01,ORD-202608109,2.0,3,7,25.2,15,25.5
2026-09-04,ORD-202608110,3.4,12,5,26.3,2,34.1
2026-09-06,ORD-202608111,5.6,2,6,16.6,1,32.9
2026-08-14,ORD-202608112,8.1,5,2,14.4,1,42.8
2026-08-03,ORD-202608113,0.3,2,4,19.6,20,18.9
2026-08-01,ORD-202608114,12.7,6,1,15.4,6,61.0
2026-08-05,ORD-202608115,12.2,1,3,20.0,5,52.8
2026-08-26,ORD-202608116,1.9,12,6,22.1,13,28.8
2026-08-14,ORD-202608117,11.3,3,10,21.8,14,86.4
2026-09-08,ORD-202608118,2.0,2,2,15.5,4,21.4
2026-08-27,ORD-202608119,13.2,1,4,11.3,10,62.7
2026-08-09,ORD-202608120,7.1,1,7,16.6,12,45.5
2026-08-15,ORD-202608121,6.7,3,3,10.9,9,38.6
2026-08-15,ORD-202608122,2.2,2,5,25.8,2,16.0
2026-08-26,ORD-202608123,3.8,7,6,14.9,16,38.2
2026-08-13,ORD-202608124,7.9,3,5,11.1,7,47.0
2026-09-01,ORD-202608125,0.9,2,2,8.5,3,11.4
2026-09-08,ORD-202608126,1.2,4,3,20.9,5,16.0
2026-09-01,ORD-202608127,5.4,5,7,20.7,1,38.7
2026-08-04,ORD-202608128,14.0,1,5,14.8,2,69.3
2026-08-30,ORD-202608129,4.5,1,1,9.4,12,24.3
2026-09-06,ORD-202608130,3.8,1,6,16.2,1,25.1
2026-08-23,ORD-202608131,0.8,5,1,14.2,5,17.7
2026-09-08,ORD-202608132,14.0,5,6,21.5,7,77.0
2026-08-15,ORD-202608133,0.9,3,3,20.1,1,9.6
2026-08-29,ORD-202608134,21.1,7,9,15.3,22,135.0
2026-09-05,ORD-202608135,12.8,6,4,12.4,3,64.8
2026-08-13,ORD-202608136,10.4,4,3,27.8,4,50.5
2026-09-01,ORD-202608137,10.7,8,2,17.1,4,53.1
2026-08-07,ORD-202608138,8.3,2,3,21.8,3,41.9
2026-08-22,ORD-202608139,6.3,1,7,10.8,1,39.2
2026-08-28,ORD-202608140,5.4,2,10,17.7,11,46.3
2026-08-02,ORD-202608141,13.7,1,4,8.6,22,72.2
2026-08-06,ORD-202608142,2.4,4,4,18.1,3,20.1
2026-08-28,ORD-202608143,1.4,10,6,27.3,9,25.6
2026-08-28,ORD-202608144,5.6,1,8,15.7,11,41.8
2026-08-20,ORD-202608145,4.4,1,5,8.8,15,29.3
2026-08-30,ORD-202608146,12.5,3,4,8.6,5,63.7
2026-08-11,ORD-202608147,2.8,10,4,15.8,4,28.9
2026-08-28,ORD-202608148,1.3,2,6,11.2,4,10.5
2026-08-25,ORD-202608149,2.1,3,1,8.5,10,18.4
2026-09-08,ORD-202608150,1.6,1,5,23.1,14,20.8
2026-09-02,ORD-202608151,1.3,1,3,17.2,2,9.0
2026-08-01,ORD-202608152,5.8,14,7,13.8,4,51.2
2026-08-27,ORD-202608153,14.7,12,2,26.0,17,78.2
2026-08-13,ORD-202608154,4.2,1,5,10.3,13,32.7
2026-08-03,ORD-202608155,6.0,11,4,27.1,24,49.4
2026-09-08,ORD-202608156,2.3,4,5,14.3,12,22.3
2026-08-06,ORD-202608157,23.3,8,1,25.8,5,103.4
2026-08-08,ORD-202608158,4.7,3,5,20.1,8,32.0
2026-08-27,ORD-202608159,5.8,3,5,24.5,9,35.8
2026-08-09,ORD-202608160,15.8,3,5,27.7,1,83.6
2026-09-06,ORD-202608161,1.9,5,5,13.8,7,18.9
2026-09-02,ORD-202608162,5.7,1,6,27.2,10,33.1
2026-08-24,ORD-202608163,6.9,1,7,15.8,2,45.7
2026-08-15,ORD-202608164,2.4,2,3,15.7,12,19.6
2026-09-01,ORD-202608165,1.2,5,7,14.8,8,18.3
2026-09-01,ORD-202608166,8.0,2,4,18.8,21,47.7
2026-08-24,ORD-202608167,1.2,5,1,11.1,1,13.3
2026-08-12,ORD-202608168,5.7,12,1,19.1,3,37.1
2026-09-08,ORD-202608169,2.2,1,3,18.8,8,15.5
2026-08-02,ORD-202608170,0.9,5,7,23.2,3,15.5
2026-08-03,ORD-202608171,8.3,3,6,24.7,11,51.6
2026-09-06,ORD-202608172,5.5,8,7,16.8,12,47.1
2026-08-17,ORD-202608173,6.3,1,4,14.0,1,33.4
2026-08-02,ORD-202608174,0.5,5,4,13.2,6,12.1
2026-08-02,ORD-202608175,7.3,7,2,11.9,6,41.7
2026-08-28,ORD-202608176,20.5,10,3,9.2,4,92.7
2026-08-23,ORD-202608177,21.0,5,4,14.8,19,102.3
2026-09-06,ORD-202608178,23.9,3,2,13.4,14,105.5
2026-09-01,ORD-202608179,0.9,4,3,27.3,10,15.8
2026-09-02,ORD-202608180,7.8,8,5,19.2,11,50.9
2026-08-01,ORD-202608181,0.4,4,6,14.9,6,11.2
2026-08-19,ORD-202608182,3.4,1,10,19.6,19,32.7
2026-08-02,ORD-202608183,0.6,10,8,10.8,10,25.3
2026-08-26,ORD-202608184,7.0,5,5,16.9,11,46.1
2026-09-01,ORD-202608185,2.5,5,4,20.5,15,23.7
2026-08-06,ORD-202608186,1.1,2,5,17.8,3,13.5
2026-09-01,ORD-202608187,7.1,5,7,16.0,13,53.7
2026-08-04,ORD-202608188,0.4,3,2,27.9,2,10.4
2026-08-11,ORD-202608189,6.0,5,4,25.6,4,38.7
2026-08-17,ORD-202608190,2.0,1,7,20.5,4,14.8
2026-09-07,ORD-202608191,3.0,5,4,19.4,23,27.2
2026-08-24,ORD-202608192,1.9,16,5,20.4,15,34.5
2026-08-05,ORD-202608193,1.9,1,5,12.0,10,19.0
2026-09-03,ORD-202608194,3.8,13,2,15.9,11,28.9
2026-08-06,ORD-202608195,2.1,3,4,8.8,7,18.0
2026-08-22,ORD-202608196,6.1,8,3,17.5,20,41.4
2026-08-11,ORD-202608197,4.9,6,1,18.9,6,28.6
2026-08-16,ORD-202608198,20.8,4,1,12.6,5,87.6
2026-09-02,ORD-202608199,5.4,5,7,27.3,2,39.6
2026-08-09,ORD-202608200,11.4,8,3,26.2,13,58.7
2026-08-06,ORD-202608201,11.4,3,4,22.4,11,57.4
2026-08-16,ORD-202608202,2.8,2,3,18.7,5,16.2
2026-08-29,ORD-202608203,4.5,5,9,25.4,1,39.0
2026-08-03,ORD-202608204,7.5,6,3,10.6,14,45.4
2026-08-20,ORD-202608205,3.0,6,4,23.8,1,18.3
2026-09-05,ORD-202608206,6.6,6,7,10.5,10,46.8
2026-08-19,ORD-202608207,1.8,3,7,23.9,22,26.9
2026-08-26,ORD-202608208,7.3,7,2,13.5,5,43.6
2026-08-03,ORD-202608209,1.2,1,7,25.5,3,15.0
2026-08-19,ORD-202608210,8.0,4,4,26.9,10,45.1
2026-08-20,ORD-202608211,14.2,1,4,11.0,14,66.6
2026-09-01,ORD-202608212,20.4,2,2,17.3,7,88.9
2026-08-07,ORD-202608213,11.0,2,2,27.6,22,56.8
2026-09-02,ORD-202608214,0.5,3,6,17.7,1,10.7
2026-09-09,ORD-202608215,12.0,5,4,25.3,6,61.3
2026-09-08,ORD-202608216,6.6,3,4,19.8,11,36.8
2026-08-18,ORD-202608217,2.0,3,6,15.5,15,24.1
2026-09-09,ORD-202608218,7.6,2,6,13.7,2,44.9
2026-08-01,ORD-202608219,2.4,2,2,12.1,13,20.3
2026-08-11,ORD-202608220,5.0,2,5,23.2,7,33.0
2026-08-28,ORD-202608221,5.6,1,2,15.7,5,26.4
2026-08-25,ORD-202608222,5.7,4,6,18.2,2,36.5
2026-08-23,ORD-202608223,1.6,5,5,17.8,16,23.2
2026-08-31,ORD-202608224,5.2,4,9,19.5,2,36.6
2026-08-30,ORD-202608225,7.0,3,1,25.3,4,35.8
2026-09-04,ORD-202608226,5.7,2,1,27.6,3,31.1
2026-08-07,ORD-202608227,5.4,8,3,16.2,16,38.5
2026-08-16,ORD-202608228,1.6,3,3,24.6,10,17.7
2026-08-26,ORD-202608229,11.0,3,3,23.3,13,55.8
2026-08-02,ORD-202608230,15.3,1,8,19.5,3,91.2
2026-08-01,ORD-202608231,16.3,2,3,27.1,8,71.3
2026-08-12,ORD-202608232,1.6,3,3,12.0,7,14.2
2026-08-05,ORD-202608233,18.7,3,6,10.2,14,104.0
2026-09-06,ORD-202608234,7.1,4,4,25.1,18,44.6
2026-09-01,ORD-202608235,3.5,4,6,16.8,1,27.0
2026-08-09,ORD-202608236,4.5,4,1,24.9,10,30.8
2026-09-04,ORD-202608237,3.7,6,4,25.9,1,27.7
2026-08-19,ORD-202608238,16.7,7,1,9.2,7,76.5
2026-08-16,ORD-202608239,0.5,5,1,25.7,3,9.0
2026-08-03,ORD-202608240,1.6,11,8,17.0,4,26.9
2026-08-20,ORD-202608241,23.6,1,2,18.2,4,98.0
2026-08-24,ORD-202608242,5.1,1,5,20.5,8,30.8
2026-09-02,ORD-202608243,6.6,1,4,26.5,4,36.0
2026-08-24,ORD-202608244,2.9,4,3,8.4,11,21.1
2026-08-11,ORD-202608245,3.3,8,8,17.5,5,34.6
2026-08-08,ORD-202608246,10.4,2,1,21.8,1,46.1
2026-09-05,ORD-202608247,2.6,9,6,22.5,13,29.3
2026-09-07,ORD-202608248,1.4,1,9,21.9,3,14.1
2026-09-09,ORD-202608249,1.1,10,5,10.7,5,20.5
2026-08-20,ORD-202608250,1.9,2,8,14.0,10,21.3
2026-09-04,ORD-202608251,17.0,1,1,15.2,4,72.2
2026-08-25,ORD-202608252,5.7,3,4,24.1,1,30.9
2026-09-04,ORD-202608253,5.7,2,3,13.6,4,30.5
2026-08-25,ORD-202608254,1.2,2,6,12.2,20,20.6
2026-08-29,ORD-202608255,0.4,2,10,27.1,9,11.6
2026-08-18,ORD-202608256,1.6,6,3,8.2,10,18.9
2026-08-18,ORD-202608257,8.8,4,5,28.0,9,53.0
2026-08-02,ORD-202608258,2.5,2,2,21.5,2,18.1
2026-09-04,ORD-202608259,5.4,4,5,24.6,5,35.0
2026-08-16,ORD-202608260,1.8,5,4,13.9,12,23.6
2026-09-05,ORD-202608261,22.8,2,9,8.3,1,135.0
2026-09-02,ORD-202608262,7.4,3,5,22.8,3,41.1
2026-08-04,ORD-202608263,21.1,1,3,24.7,3,85.0
2026-09-02,ORD-202608264,1.0,1,2,22.8,5,16.2
2026-08-14,ORD-202608265,9.8,5,2,10.9,23,57.4
2026-08-21,ORD-202608266,9.5,1,3,23.1,1,42.2
2026-08-20,ORD-202608267,14.6,3,3,23.4,7,67.5
2026-08-08,ORD-202608268,14.7,5,7,21.2,2,89.0
2026-08-07,ORD-202608269,1.0,1,5,23.3,22,21.4
2026-08-03,ORD-202608270,12.9,4,5,24.9,2,69.3
2026-08-17,ORD-202608271,15.4,2,2,20.3,5,66.8
2026-09-02,ORD-202608272,10.8,11,7,9.8,11,74.5
2026-08-12,ORD-202608273,11.8,3,6,17.8,10,67.0
2026-08-22,ORD-202608274,17.1,6,1,9.6,5,78.4
2026-08-22,ORD-202608275,2.4,4,6,16.2,4,21.5
2026-08-30,ORD-202608276,1.4,1,5,16.1,5,13.4
2026-09-07,ORD-202608277,5.0,4,2,9.3,3,27.9
2026-09-07,ORD-202608278,2.3,11,4,15.0,2,28.1
2026-08-08,ORD-202608279,4.9,4,4,10.2,6,33.2
2026-08-27,ORD-202608280,15.4,7,2,24.2,3,74.7
2026-08-27,ORD-202608281,6.4,8,9,27.0,3,52.2
2026-09-03,ORD-202608282,6.5,2,7,9.4,9,44.3
2026-08-21,ORD-202608283,5.3,2,6,27.1,22,41.3
2026-08-30,ORD-202608284,5.1,4,4,18.5,8,30.9
2026-09-02,ORD-202608285,4.6,3,4,14.0,1,24.7
2026-08-28,ORD-202608286,9.6,7,5,9.5,1,55.9
2026-09-02,ORD-202608287,3.1,9,5,18.0,21,33.6
2026-08-05,ORD-202608288,3.0,2,1,23.9,3,19.8
2026-08-19,ORD-202608289,0.5,2,4,22.1,1,11.5
2026-08-04,ORD-202608290,6.5,6,7,9.0,8,46.1
2026-09-04,ORD-202608291,2.1,2,4,9.5,8,22.7
2026-08-17,ORD-202608292,2.5,7,1,16.1,9,22.4
2026-08-28,ORD-202608293,7.4,3,7,13.9,3,49.4
2026-08-30,ORD-202608294,4.3,5,3,12.6,1,27.1
2026-08-29,ORD-202608295,11.0,1,3,13.6,22,58.9
2026-08-06,ORD-202608296,2.8,4,2,24.1,3,18.2
2026-09-04,ORD-202608297,12.7,3,3,26.6,10,64.6
2026-09-06,ORD-202608298,14.2,4,6,16.1,10,81.1
2026-08-24,ORD-202608299,5.5,1,4,26.1,8,33.3
2026-08-29,ORD-202608300,7.5,5,3,14.4,4,42.5
2026-08-31,ORD-202608301,7.9,8,7,17.5,3,53.3
2026-09-04,ORD-202608302,22.4,2,7,12.5,8,128.1
2026-09-02,ORD-202608303,0.4,1,7,20.8,16,12.8
2026-08-21,ORD-202608304,12.8,1,3,27.6,20,65.3
2026-09-01,ORD-202608305,4.8,4,4,20.1,1,27.4
2026-08-23,ORD-202608306,5.9,4,10,15.2,2,46.4
2026-09-02,ORD-202608307,8.8,4,6,21.0,20,59.9
2026-08-03,ORD-202608308,14.2,2,1,10.5,11,66.7
2026-08-18,ORD-202608309,15.3,3,1,25.8,16,76.2
2026-08-25,ORD-202608310,5.1,4,4,18.1,2,29.7
2026-08-31,ORD-202608311,3.7,3,8,17.0,8,33.7
2026-08-03,ORD-202608312,8.8,14,5,19.7,10,65.1
2026-09-09,ORD-202608313,10.5,1,4,20.5,10,53.8
2026-08-24,ORD-202608314,5.5,5,2,9.4,5,31.3
2026-09-01,ORD-202608315,20.6,3,5,21.7,1,97.3
2026-08-22,ORD-202608316,7.0,3,7,12.8,8,51.1
2026-08-23,ORD-202608317,1.5,5,4,22.3,3,16.4
2026-08-02,ORD-202608318,2.7,5,6,24.5,5,22.6
2026-08-27,ORD-202608319,0.7,15,9,24.1,21,28.3
2026-08-02,ORD-202608320,6.3,1,3,19.1,5,29.8
2026-08-26,ORD-202608321,6.8,1,5,18.4,15,44.3
2026-08-17,ORD-202608322,5.5,5,3,10.9,2,33.3
2026-09-09,ORD-202608323,1.4,4,7,23.5,10,21.2
2026-09-02,ORD-202608324,1.5,2,5,13.4,23,23.0
2026-08-09,ORD-202608325,10.5,1,5,17.9,1,51.1
2026-09-08,ORD-202608326,7.9,1,7,13.7,1,45.9
2026-08-29,ORD-202608327,8.2,8,4,10.7,5,46.0
2026-08-26,ORD-202608328,0.9,1,8,20.6,1,12.4
2026-09-04,ORD-202608329,12.6,2,5,9.1,11,65.8
2026-08-25,ORD-202608330,4.3,2,2,23.0,18,28.9
2026-08-24,ORD-202608331,1.9,2,6,14.4,5,17.6
2026-08-13,ORD-202608332,7.4,1,7,8.0,3,42.2
2026-08-07,ORD-202608333,7.6,3,3,18.2,5,38.7
2026-09-05,ORD-202608334,1.6,1,7,8.9,11,18.4
2026-08-20,ORD-202608335,1.2,6,8,13.5,1,19.8
2026-08-01,ORD-202608336,23.7,2,3,22.1,8,98.4
2026-08-08,ORD-202608337,0.5,4,10,9.3,8,12.3
2026-08-16,ORD-202608338,9.8,8,2,24.8,9,52.3
2026-08-14,ORD-202608339,1.3,5,3,8.1,3,13.4
2026-08-12,ORD-202608340,21.8,4,2,12.9,11,95.9
2026-08-23,ORD-202608341,3.0,2,8,22.8,1,20.1
2026-08-15,ORD-202608342,4.3,2,5,14.3,2,25.7
2026-08-28,ORD-202608343,10.7,5,2,10.0,16,54.7
2026-09-03,ORD-202608344,18.6,15,4,15.2,11,101.2
2026-08-02,ORD-202608345,14.0,5,5,13.4,1,71.3
2026-09-01,ORD-202608346,6.3,4,2,24.9,3,30.3
2026-08-23,ORD-202608347,5.5,5,8,14.3,3,40.8
2026-08-22,ORD-202608348,6.5,3,7,23.8,3,43.3
2026-08-25,ORD-202608349,0.5,1,4,25.8,3,9.0
2026-08-22,ORD-202608350,6.9,4,9,16.7,1,48.5
2026-08-22,ORD-202608351,11.7,11,4,26.2,6,64.5
2026-08-06,ORD-202608352,6.9,1,10,15.5,11,53.7
2026-08-15,ORD-202608353,4.6,5,6,27.3,8,33.2
2026-09-06,ORD-202608354,1.5,2,5,9.8,10,16.9
2026-09-02,ORD-202608355,5.9,4,2,21.7,1,32.9
2026-08-08,ORD-202608356,9.8,1,8,17.9,21,66.1
2026-08-05,ORD-202608357,7.2,3,4,15.8,14,43.1
2026-09-08,ORD-202608358,1.3,6,2,20.7,13,17.0
2026-08-04,ORD-202608359,0.5,2,1,22.1,14,14.8
2026-08-06,ORD-202608360,5.4,5,5,8.1,19,39.4
2026-09-01,ORD-202608361,2.3,6,5,11.3,7,25.6
2026-08-30,ORD-202608362,9.6,9,6,22.3,2,57.5
2026-09-04,ORD-202608363,2.2,2,8,21.3,8,23.1
2026-09-09,ORD-202608364,4.4,3,1,27.3,11,31.3
2026-08-16,ORD-202608365,2.5,1,6,23.2,11,20.4
2026-08-13,ORD-202608366,3.5,15,2,27.0,7,32.9
2026-08-30,ORD-202608367,0.8,9,7,22.1,1,15.8
2026-08-19,ORD-202608368,4.5,4,7,14.0,4,32.6
2026-08-17,ORD-202608369,1.4,7,5,10.1,18,25.8
2026-08-19,ORD-202608370,0.8,3,6,23.6,8,13.6
2026-08-28,ORD-202608371,20.0,4,3,20.9,7,85.2
2026-08-26,ORD-202608372,0.7,1,4,9.0,3,9.0
2026-09-06,ORD-202608373,1.5,6,7,15.2,4,23.0
2026-08-26,ORD-202608374,2.8,1,4,27.1,17,27.7
2026-08-23,ORD-202608375,0.9,7,3,18.0,9,19.4
2026-08-09,ORD-202608376,13.0,6,4,16.7,13,67.9
2026-08-12,ORD-202608377,12.9,5,7,17.2,6,80.5
2026-08-01,ORD-202608378,9.1,1,3,12.2,9,46.0
2026-08-01,ORD-202608379,1.8,2,2,15.4,3,14.3
2026-09-03,ORD-202608380,20.2,2,6,15.4,10,108.9
2026-09-01,ORD-202608381,19.3,2,7,9.0,5,111.6
2026-08-25,ORD-202608382,11.9,1,2,23.4,5,49.8
2026-09-09,ORD-202608383,2.9,10,3,16.3,9,30.6
2026-08-01,ORD-202608384,5.6,4,2,24.4,20,37.3
2026-08-16,ORD-202608385,9.9,2,3,25.0,1,42.6
2026-09-08,ORD-202608386,2.0,3,4,12.2,14,19.5
2026-08-05,ORD-202608387,5.1,3,6,21.1,3,31.9
2026-08-22,ORD-202608388,1.6,4,5,17.4,5,15.4
2026-08-29,ORD-202608389,5.2,3,5,25.6,1,35.0
2026-08-03,ORD-202608390,4.3,9,3,12.3,4,32.0
2026-08-12,ORD-202608391,7.6,3,7,21.6,6,51.7
2026-08-26,ORD-202608392,0.7,15,4,20.2,1,22.9
2026-08-16,ORD-202608393,22.9,7,9,13.9,6,135.0
2026-09-06,ORD-202608394,5.9,2,5,10.7,19,41.1
2026-08-22,ORD-202608395,1.2,10,2,21.0,1,18.2
2026-08-29,ORD-202608396,1.4,1,6,22.8,12,16.9
2026-08-14,ORD-202608397,9.7,7,3,14.3,5,47.3
2026-08-28,ORD-202608398,11.8,3,6,20.9,9,70.7
2026-08-05,ORD-202608399,3.1,8,1,15.9,3,21.6
2026-08-30,ORD-202608400,3.0,8,2,22.3,2,22.3
2026-08-05,ORD-202608401,3.6,6,7,12.0,2,33.9
2026-08-12,ORD-202608402,5.8,6,3,25.8,1,33.1
2026-08-16,ORD-202608403,1.6,2,7,13.7,2,16.3
2026-08-26,ORD-202608404,6.3,1,3,15.4,9,34.7
2026-08-26,ORD-202608405,0.5,3,5,9.2,16,13.3
2026-08-21,ORD-202608406,6.3,1,6,10.2,14,39.3
2026-09-08,ORD-202608407,5.7,5,4,18.3,10,36.3
2026-09-05,ORD-202608408,1.7,2,3,13.4,1,11.9
2026-09-02,ORD-202608409,10.2,13,3,24.7,3,56.5
2026-08-30,ORD-202608410,6.5,4,1,8.3,4,35.9
2026-09-06,ORD-202608411,13.7,7,3,15.6,3,67.3
2026-08-23,ORD-202608412,5.0,1,5,14.7,6,32.4
2026-08-10,ORD-202608413,3.5,8,8,8.4,7,32.4
2026-08-05,ORD-202608414,4.7,9,7,10.5,4,38.4
2026-09-05,ORD-202608415,5.5,3,6,16.3,4,34.7
2026-09-03,ORD-202608416,12.0,4,7,17.9,14,74.6
2026-08-31,ORD-202608417,3.6,6,6,16.1,13,30.6
